video,video_path,config_path,frame,timestamp_s,source_fps,bev_width,bev_height,target,target_available,vehicle_center_x,target_x,error_px,error_threshold_px,command,pseudo_left_offset_px,pseudo_right_offset_px,raw_left_detected,raw_right_detected,left_detected,right_detected,left_x_base,right_x_base,pseudo_left_x_base,center_x_base,pseudo_right_x_base,left_confidence,right_confidence,left_curvature,right_curvature,processing_ms,runtime_fps
video_02,data/raw/video_02.mp4,config/video_02_params.json,0,0.0,30.0,400,600,center,1,200.0,201.552897,-1.552897,20.0,RETO,20.0,20.0,1,1,1,1,41.48495482335636,361.62083956141754,61.48495482335636,201.55289719238695,341.62083956141754,1.0,1.0,194928.71750397884,72816.16869514159,364.1255,2.746306
video_02,data/raw/video_02.mp4,config/video_02_params.json,1,0.033333,30.0,400,600,center,1,200.0,201.560507,-1.560507,20.0,RETO,20.0,20.0,1,1,1,1,41.51075765303023,361.6102558862783,61.51075765303023,201.56050676965427,341.6102558862783,1.0,1.0,177476.89202285395,70254.39607930185,188.6313,5.301347
video_02,data/raw/video_02.mp4,config/video_02_params.json,2,0.066667,30.0,400,600,center,1,200.0,201.561119,-1.561119,20.0,RETO,20.0,20.0,1,1,1,1,41.49756592782384,361.6246723036751,61.49756592782384,201.56111911574945,341.6246723036751,1.0,1.0,180412.74337706482,74293.36533031626,185.055,5.403799
video_02,data/raw/video_02.mp4,config/video_02_params.json,3,0.1,30.0,400,600,center,1,200.0,201.562353,-1.562353,20.0,RETO,20.0,20.0,1,1,1,1,41.50295546772516,361.6217510930584,61.50295546772516,201.5623532803918,341.6217510930584,1.0,1.0,178467.4714578355,72251.22601208625,192.1469,5.204351
video_02,data/raw/video_02.mp4,config/video_02_params.json,4,0.133333,30.0,400,600,center,1,200.0,201.56281,-1.56281,20.0,RETO,20.0,20.0,1,1,1,1,41.504542426231616,361.6210775953843,61.504542426231616,201.56281001080796,341.6210775953843,1.0,1.0,177816.30595012344,71699.1247052499,187.4027,5.336102
video_02,data/raw/video_02.mp4,config/video_02_params.json,5,0.166667,30.0,400,600,center,1,200.0,202.660189,-2.660189,20.0,RETO,20.0,20.0,1,1,1,1,42.565932401992605,362.75444495338866,62.565932401992605,202.66018867769066,342.75444495338866,1.0,1.0,270834.7650990868,78886.34146443568,168.1501,5.947068
video_02,data/raw/video_02.mp4,config/video_02_params.json,6,0.2,30.0,400,600,center,1,200.0,204.113145,-4.113145,20.0,RETO,20.0,20.0,1,1,1,1,43.99378048818921,364.23250901952895,63.99378048818921,204.11314475385907,344.23250901952895,1.0,1.0,288098.4473732879,88235.6165536362,163.1967,6.127575
video_02,data/raw/video_02.mp4,config/video_02_params.json,7,0.233333,30.0,400,600,center,1,200.0,205.45196,-5.45196,20.0,RETO,20.0,20.0,1,1,1,1,45.298737801165224,365.6051813938475,65.29873780116523,205.45195959750635,345.6051813938475,1.0,1.0,440399.5459166706,91815.44187750139,171.6476,5.82589
video_02,data/raw/video_02.mp4,config/video_02_params.json,8,0.266667,30.0,400,600,center,1,200.0,207.066065,-7.066065,20.0,RETO,20.0,20.0,1,1,1,1,46.88230463550488,367.24982468490293,66.88230463550488,207.06606466020392,347.24982468490293,1.0,1.0,999999.0,100280.29675794496,157.3622,6.354766
video_02,data/raw/video_02.mp4,config/video_02_params.json,9,0.3,30.0,400,600,center,1,200.0,208.510318,-8.510318,20.0,RETO,20.0,20.0,1,1,1,1,48.31354067882283,368.70709534970433,68.31354067882283,208.51031801426362,348.70709534970433,1.0,1.0,999999.0,113280.08614769534,174.6417,5.726009
video_02,data/raw/video_02.mp4,config/video_02_params.json,10,0.333333,30.0,400,600,center,1,200.0,209.691322,-9.691322,20.0,RETO,20.0,20.0,1,1,1,1,49.50309549433609,369.8795488222773,69.5030954943361,209.6913221583067,349.8795488222773,1.0,1.0,999999.0,131694.05652450686,159.3495,6.275514
video_02,data/raw/video_02.mp4,config/video_02_params.json,11,0.366667,30.0,400,600,center,1,200.0,210.561324,-10.561324,20.0,RETO,20.0,20.0,1,1,1,1,50.3929283356878,370.7297200410221,70.3929283356878,210.56132418835497,350.7297200410221,1.0,1.0,999999.0,150025.9630594295,159.4276,6.27244
video_02,data/raw/video_02.mp4,config/video_02_params.json,12,0.4,30.0,400,600,center,1,200.0,211.144118,-11.144118,20.0,RETO,20.0,20.0,1,1,1,1,51.015519428360925,371.27271702480573,71.01551942836093,211.14411822658332,351.27271702480573,1.0,1.0,657733.1233112323,161309.47778264718,166.8434,5.993644
video_02,data/raw/video_02.mp4,config/video_02_params.json,13,0.433333,30.0,400,600,center,1,200.0,211.352862,-11.352862,20.0,RETO,20.0,20.0,1,1,1,1,51.27902258289822,371.42670097956625,71.27902258289822,211.35286178123224,351.42670097956625,1.0,1.0,723486.1213230351,153421.5942787426,164.224,6.089244
